experience_level,employment_type,jobs,salary_in_usd,work_setting,company_location,company_size
Senior,Full-time,Data Scientist,185100,Remote,US,M
Senior,Full-time,Machine Learning and AI,220000,Remote,US,M
Mid-level,Full-time,Data Scientist,200000,Remote,US,M
Mid-level,Full-time,Data Scientist,120000,Remote,US,M
Senior,Full-time,Machine Learning and AI,120000,Remote,AE,S
Senior,Full-time,Machine Learning and AI,65000,Remote,AE,S
Executive,Full-time,Data Engineering,216000,Remote,US,M
Senior,Full-time,Data Engineering,210000,Remote,US,M
Senior,Full-time,Machine Learning and AI,120000,Remote,US,M
Senior,Full-time,Data Scientist,230000,Remote,US,M
Entry-level,Part-time,Data Scientist,100000,Hybrid,DZ,M
Mid-level,Freelance,Data Scientist,100000,Remote,US,M
Entry-level,Contract,Machine Learning and AI,31875,Remote,CZ,M
Senior,Full-time,Data Quality and Operations,200000,Remote,US,M
Mid-level,Full-time,Data Analysis,75000,Remote,CA,S
Mid-level,Full-time,Data Scientist,35590,Remote,PL,L
Senior,Full-time,Machine Learning and AI,78791,Remote,CA,M
Senior,Full-time,Data Scientist,100000,Remote,US,M
Mid-level,Full-time,Machine Learning and AI,153000,Hybrid,US,M
Entry-level,Full-time,Data Engineering,58035,Remote,DE,M
Senior,Full-time,Data Scientist,165000,Remote,US,M
Senior,Full-time,Data Science and Research,93427,Hybrid,FR,L
Entry-level,Full-time,Data Scientist,52396,Remote,CA,L
Senior,Full-time,Machine Learning and AI,62651,Remote,NL,L
Mid-level,Full-time,Data Quality and Operations,32974,Remote,EE,S
Entry-level,Full-time,Data Scientist,40000,Remote,MY,L
Mid-level,Full-time,Machine Learning and AI,87425,Remote,AU,L
Senior,Full-time,Data Engineering,115000,Remote,US,M
Entry-level,Full-time,Data Scientist,86703,Hybrid,AU,M
Mid-level,Full-time,Machine Learning and AI,75000,Remote,US,L
Mid-level,Full-time,Data Science and Research,64849,In-person,AT,L
Entry-level,Full-time,Data Science and Research,120000,Remote,US,L
Mid-level,Full-time,Data Science and Research,157000,Remote,US,L
Entry-level,Full-time,Computer Vision,150000,Remote,AU,S
Mid-level,Full-time,BI and Visualization,70912,Hybrid,CA,L
Entry-level,Full-time,Data Engineering,65000,Remote,US,S
Senior,Full-time,Machine Learning and AI,71444,Remote,IE,S
Entry-level,Full-time,Data Engineering,20000,In-person,PK,M
Mid-level,Full-time,Data Scientist,48000,Remote,US,S
Senior,Full-time,Leadership and Management,152500,Remote,US,M
Mid-level,Full-time,Data Engineering,68147,Remote,FR,M
Mid-level,Full-time,Data Scientist,122346,In-person,CH,L
Mid-level,Full-time,Data Scientist,69336,Remote,CA,M
Entry-level,Full-time,Computer Vision,10000,Remote,LU,M
Mid-level,Full-time,Data Analysis,20000,Remote,GR,S
Mid-level,Full-time,Data Scientist,135000,Remote,US,L
Senior,Full-time,Data Science and Research,177000,Remote,US,L
Mid-level,Full-time,Data Scientist,78000,Remote,US,M
Senior,Full-time,Data Analysis,135000,Remote,US,M
Senior,Full-time,Data Analysis,100000,Remote,US,M
Senior,Full-time,Data Analysis,90320,Remote,US,M
Mid-level,Full-time,Data Analysis,85000,In-person,CA,M
Mid-level,Full-time,Data Analysis,75000,In-person,CA,M
Senior,Full-time,Machine Learning and AI,214000,Remote,US,M
Senior,Full-time,Machine Learning and AI,192600,Remote,US,M
Senior,Full-time,Data Architecture and Modeling,266400,Remote,US,M
Senior,Full-time,Data Architecture and Modeling,213120,Remote,US,M
Senior,Full-time,Data Analysis,112900,Remote,US,M
Senior,Full-time,Data Engineering,155000,Remote,US,M
Mid-level,Full-time,Data Scientist,141300,In-person,US,M
Mid-level,Full-time,Data Scientist,102100,In-person,US,M
Senior,Full-time,Data Analysis,115934,Remote,US,M
Senior,Full-time,Data Analysis,81666,Remote,US,M
Mid-level,Full-time,Data Engineering,206699,In-person,US,M
Mid-level,Full-time,Data Engineering,99100,In-person,US,M
Senior,Full-time,Data Engineering,130000,Remote,US,M
Senior,Full-time,Data Engineering,115000,Remote,US,M
Senior,Full-time,Data Engineering,110500,Remote,US,M
Senior,Full-time,Data Engineering,130000,Remote,US,M
Senior,Full-time,Data Analysis,99050,Remote,US,M
Senior,Full-time,Data Engineering,160000,Remote,US,M
Senior,Full-time,Data Scientist,205300,In-person,US,L
Senior,Full-time,Data Scientist,140400,In-person,US,L
Senior,Full-time,Data Scientist,176000,Remote,US,M
Senior,Full-time,Data Scientist,144000,Remote,US,M
Senior,Full-time,Data Engineering,200100,Remote,US,M
Senior,Full-time,Data Engineering,160000,Remote,US,M
Senior,Full-time,Data Engineering,145000,Remote,US,M
Senior,Full-time,Data Engineering,70500,In-person,US,M
Senior,Full-time,Data Scientist,205300,In-person,US,M
Senior,Full-time,Data Scientist,140400,In-person,US,M
Senior,Full-time,Data Analysis,205300,In-person,US,M
Senior,Full-time,Data Analysis,184700,In-person,US,M
Senior,Full-time,Data Engineering,175100,Remote,US,M
Senior,Full-time,Data Engineering,140250,Remote,US,M
Senior,Full-time,Data Analysis,116150,Remote,US,M
Senior,Full-time,Data Engineering,54000,In-person,US,M
Senior,Full-time,Data Analysis,170000,Remote,US,M
Mid-level,Full-time,Data Analysis,65438,In-person,GB,M
Senior,Full-time,Data Analysis,80000,Remote,US,M
Senior,Full-time,Data Scientist,140000,Remote,US,M
Senior,Full-time,Data Scientist,210000,Remote,US,M
Senior,Full-time,Data Scientist,140000,Remote,US,M
Senior,Full-time,Data Analysis,100000,Remote,US,M
Senior,Full-time,Data Analysis,69000,Remote,US,M
Senior,Full-time,Data Scientist,210000,Remote,US,M
Senior,Full-time,Data Scientist,140000,Remote,US,M
Senior,Full-time,Data Scientist,210000,Remote,US,M
Senior,Full-time,Data Analysis,150075,Remote,US,M
Senior,Full-time,Data Engineering,100000,Remote,US,M
Senior,Full-time,Data Engineering,25000,Remote,US,M
Senior,Full-time,Data Analysis,126500,Remote,US,M
Senior,Full-time,Data Analysis,106260,Remote,US,M
Senior,Full-time,Data Engineering,220110,Remote,US,M
Senior,Full-time,Data Engineering,160080,Remote,US,M
Senior,Full-time,Data Analysis,105000,Remote,US,M
Senior,Full-time,Data Analysis,110925,Remote,US,M
Mid-level,Full-time,Data Analysis,45807,In-person,GB,M
Senior,Full-time,Data Scientist,140000,Remote,US,M
Senior,Full-time,Data Analysis,99000,In-person,US,M
Senior,Full-time,Data Analysis,60000,Remote,US,M
Senior,Full-time,Data Architecture and Modeling,192564,Remote,US,M
Senior,Full-time,Data Architecture and Modeling,144854,Remote,US,M
Senior,Full-time,Data Scientist,230000,Remote,US,M
Senior,Full-time,Data Scientist,150000,Remote,US,M
Senior,Full-time,Leadership and Management,150260,Remote,US,M
Senior,Full-time,Leadership and Management,109280,Remote,US,M
Senior,Full-time,Data Scientist,210000,Remote,US,M
Senior,Full-time,Data Analysis,170000,Remote,US,M
Mid-level,Full-time,Data Scientist,160000,Remote,US,M
Mid-level,Full-time,Data Scientist,130000,Remote,US,M
Entry-level,Full-time,Data Analysis,67000,In-person,CA,M
Entry-level,Full-time,Data Analysis,52000,In-person,CA,M
Senior,Full-time,Data Engineering,154000,Remote,US,M
Senior,Full-time,Data Engineering,126000,Remote,US,M
Senior,Full-time,Data Analysis,129000,In-person,US,M
Senior,Full-time,Data Analysis,150000,Remote,US,M
Mid-level,Full-time,Machine Learning and AI,200000,Remote,US,L
